item_name,PDF,item_title
custom,0," 'Girl Cami,black camisole,girl tank,cotton halter top,girl halter,vintage lace cami,vintage style tank,children clothing,4T, 5, 6, 8, 10, 12'"
custom,0," 'Boy Wool Vest, special occasion, fall boy clothing, boy christmas, winter boy clothing, boy dress clothes, size 2T, 3T, 4T, 5, 6, 7, 8'"
custom,0, 'Custom Listing for Melanie D.'
custom,0," ""Girl Sequin Skirt, pink wedding, children's clothing, tween skirt, special occasion, tulle sequin skirt, size 3T, 4T, 5, 6, 7, 8, 10, 12"""
hastings,1," 'Hastings Vest PDF, boy pattern, vest pdf, fall pattern, boy pdf, easy pattern, fall clothing pdf, boy easy pdf, outerwear pdf'"
hastings,1," 'Hastings Vest PDF, vest pattern, sewing for boys, fall pattern, boy pdf, easy pattern, fall clothing pdf, boy easy pdf, outerwear pdf'"
hastings,1," 'Hastings Vest PDF, vest pattern, sewing for boys, fall patterns, boy pdf, easy pattern, fall clothing pdf, boy pattern, outerwear pdf'"
custom,0," ""Girl Clothing Set, girl blouse, girl top, children's clothing, girl boho, bubble shorts, toddler shorts, size 1t, 2t ,3t, 4t, 5, 6, 7, 8, 10"""
custom,0, 'Upgrade for Rush Production'
duchess,1," 'Duchess Dress PDF, dress pattern, girl sewing pattern, dress pdf, girl dress pdf, girl pdf'"
custom,0, 'Upgrade for Priority Shipping'
duchess,1," 'Duchess Dress PDF, dress pattern, girl sewing pattern, dress pdf, girl dress pdf,girl pdf,holiday dress pdf,girl dress pattern,kids pattern'"
melbourne,1," 'Melbourne Romper PDF, boy romper pattern, girl romper pdf, romper pdf, kids sewing patterns, sewing pdf, kid romper, toddler romper pdf'"
custom,0," 'Girl Skirt, silk striped skirt, knee length skirt, dressy clothing, winter girl clothing, gathered skirt, size 2T, 3T, 4T, 5, 6, 7, 8'"
custom,0," ""Girl Dress, spring dress, gathered dress, children's clothing, long sleeved dress, short dress, tween clothing, size 2T, 3T, 4T, 5T, 6, 7, 8"""
rosie_cotton,1," 'Rosie Cotton PDF, girl dress pdf, holiday dress pdf, girl pattern, flutter sleeve pdf, girl pdf, dress pattern, sewing pattern, dress pdf'"
charlotte,1," 'Charlotte Dress PDF, fall patterns, blouse pattern, girl dress pattern, girl dress pdf, easy dress pattern, girl sewing pdf, girl pattern'"
rosie_cotton,1," 'Rosie Cotton PDF, girl dress pattern, dress pdf, holiday dress pdf, flutter sleeve pdf, girl pattern, girl pdf, sewing pdf, sewing pattern'"
